Gene.refGene,Z_score
BTK,0.031867728
KRCC1,-0.197949389
SYTL5,0.083942841
PRND,0.002570792
PIGL,0.025641262
DNAJC30,-0.023973061
HUS1,-0.048176774
UIMC1,-0.070834525
C17orf77,0.037053109
FXYD2,0.045498857
ZNF667,0.059652314
ZCCHC12,0.076070851
TFEC,0.063646387
ATP7B,0.188336137
POLD2,-0.203549583
RG9MTD1,-0.141661477
ACOT2,-0.17244294
HIST1H4I,0.018087124
PPARGC1A,0.045903905
ETFA,-0.19405451
ZNF146,-0.063765518
POLRMT,-0.129172513
MIA2,0.094289401
KLHL6,0.014404971
HOXB5,-0.028146503
NENF,-0.226700083
PRSS22,0.158962642
CASC4,-0.192250441
LOC338799,0.118611892
GTSF1,0.046659202
CUL4B,-0.012434013
CENPJ,-0.017852005
PITX1,0.026432631
AKIRIN1,-0.019430352
CELSR3,0.191758635
LCN15,0.08503466
DNAJC9,-0.138192547
ZNF568,0.10007967
ITSN1,0.104697783
DCTN1,-0.001231595
MT1DP,0.028104925
LIN28B,0.109348409
TNKS2,-0.038011065
C1QBP,-0.080624227
CADPS2,0.032090056
SRMS,0.12672864
GJA9,0.109017547
TRIM45,0.179209314
TCP1,-0.077889998
TMED7,-0.200449654
CMA1,0.113058569
CENPL,0.134170419
PTCRA,0.063806476
FST,-0.00911948
VWCE,0.137539644
PAWR,-0.159657542
ABCC12,0.134640728
LDLR,-0.076016207
ASTN2,-0.02676946
CXCR2P1,0.017283103
TAB2,-0.207217976
GPATCH8,0.025637445
KIF4A,0.145886058
PGM1,-0.122624899
SNORA11C,0.074852495
CPD,0.05716249
SNCAIP,-0.01736766
DCT,0.101252814
HLA-DOA,-0.025150318
OR11L1,0.091044348
UPK1B,-0.021099665
DNAJB4,-0.072093087
HIST1H4L,-0.040685539
PECR,-0.006361121
MIR16-2,0.119193658
WFIKKN1,0.033863901
HSPA2,-0.192664752
SERP1,-0.195359583
SVOPL,0.124034215
TACR2,0.052239316
CD177,0.127313285
EDDM3B,0.056834578
PIGG,-0.124383196
LGR5,0.038330018
RAB5A,-0.177912908
LRRC16B,0.074196476
FLJ13224,0.076924698
DCAF11,-0.011009878
USP9Y,0.097971739
C7orf53,-0.021874404
LRP1B,0.137925812
XAF1,0.022051123
ENKUR,0.091411356
ABCG8,0.105805686
ANKDD1A,0.006447466
DAND5,0.094132039
SPAG6,0.119634807
LOC100133161,-0.003251366
ZDHHC22,0.13169693
